"","Tree_ID","PLOTID","DBH24","SP","Status","H24","Wood_Density","a","b","c","Carbon_Above","Carbon_Below","Carbon_Total","G1"
"1","P81.B1.0",81,16.9,"Ulm_spe","2 - zu THS",13.80000019,0.508,1.94295,1.29229,-4.20064,25.8478022708466,7.75434068125398,33.6021429521006,1.205
"2","P81.B2.0",81,7.9,"Ulm_spe","1 - Nein",5.5,0.508,1.94295,1.29229,-4.20064,1.796613483789,0.538984045136699,2.33559752892569,1.205
"3","P81.B3.0",81,9.5,"Car_bet","1 - Nein",10.10000038,0.706,0.00021491,2.258957614,0.001411006,61.7227013085701,18.516810392571,80.2395117011411,0.34264705882353
"4","P81.B4.0",81,11.8,"Ulm_spe","1 - Nein",8,0.508,1.94295,1.29229,-4.20064,6.35790600656546,1.90737180196964,8.2652778085351,1.205
"5","P81.B5.0",81,49.7,"Car_bet","1 - Nein",26.20000076,0.706,0.00021491,2.258957614,0.001411006,531.817280013319,159.545184003996,691.362464017315,0.34264705882353
"6","P81.B6.0",81,35.8,"Car_bet","1 - Nein",21.29999924,0.706,0.00021491,2.258957614,0.001411006,333.121359762968,99.9364079288905,433.057767691859,0.34264705882353
"7","P81.B7.0",81,29.6,"Car_bet","1 - Nein",22.70000076,0.706,0.00021491,2.258957614,0.001411006,384.624118696826,115.387235609048,500.011354305874,0.34264705882353
"8","P81.B8.0",81,27.5,"Car_bet","1 - Nein",18.70000076,0.706,0.00021491,2.258957614,0.001411006,248.233847601252,74.4701542803757,322.704001881628,0.34264705882353
"9","P81.B9.0",81,24.7,"Car_bet","1 - Nein",17.5,0.706,0.00021491,2.258957614,0.001411006,213.690354818205,64.1071064454615,277.797461263666,0.34264705882353
"10","P81.B10.0",81,6.5,"Til_spe","1 - Nein",6,0.422,0.044,2.79,0,31.9315856505731,9.57947569517192,41.511061345745,0.508333333333333
"11","P81.B11.0",81,7.9,"Car_bet","1 - Nein",7.599999905,0.706,0.00021491,2.258957614,0.001411006,32.4660025688642,9.73980077065927,42.2058033395235,0.34264705882353
"12","P81.B12.0",81,11.5,"Til_spe","1 - Nein",5.400000095,0.422,0.044,2.79,0,24.4039218240283,7.32117654720849,31.7250983712368,0.508333333333333
"13","P81.B13.0",81,10.6,"Til_spe","1 - Nein",8.199999809,0.422,0.044,2.79,0,77.9945733826725,23.3983720148017,101.392945397474,0.508333333333333
"14","P81.B14.0",81,9.9,"Til_spe","1 - Nein",8,0.422,0.044,2.79,0,72.5837364849516,21.7751209454855,94.358857430437,0.508333333333333
"15","P81.B15.0",81,112,"Que_rob","1 - Nein",38.90000153,0.56,2.00333,0.85925,-2.86353,4447.28291573094,1334.18487471928,5781.46779045022,0.304861111111111
"16","P81.B16.0",81,13.2,"Ulm_spe","1 - Nein",10.69999981,0.508,1.94295,1.29229,-4.20064,11.5114032967465,3.45342098902395,14.9648242857704,1.205
"17","P81.B17.0",81,85.5,"Que_rob","1 - Nein",38.70000076,0.56,2.00333,0.85925,-2.86353,2577.96453106837,773.389359320512,3351.35389038889,0.304861111111111
"18","P81.B18.0",81,10.2,"Ulm_spe","1 - Nein",8.199999809,0.508,1.94295,1.29229,-4.20064,4.94560004540771,1.48368001362231,6.42928005903002,1.205
"19","P81.B19.0",81,6.8,"Ulm_spe","1 - Nein",8.199999809,0.508,1.94295,1.29229,-4.20064,2.24948178020198,0.674844534060593,2.92432631426257,1.205
"20","P81.B20.0",81,16,"Ulm_spe","1 - Nein",9.899999619,0.508,1.94295,1.29229,-4.20064,15.1300757404461,4.53902272213382,19.6690984625799,1.205
"21","P81.B21.0",81,6.8,"Ulm_spe","1 - Nein",8.300000191,0.508,1.94295,1.29229,-4.20064,2.28499592875905,0.685498778627716,2.97049470738677,1.205
"22","P81.B22.0",81,9.1,"Til_spe","1 - Nein",8.300000191,0.422,0.044,2.79,0,80.1375453706762,24.0412636112029,104.178808981879,0.508333333333333
"23","P81.B23.0",81,5.8,"Ulm_spe","1 - Nein",7.699999809,0.508,1.94295,1.29229,-4.20064,1.52248247818318,0.456744743454953,1.97922722163813,1.205
"24","P81.B24.0",81,111.5,"Que_rob","1 - Nein",40,0.56,2.00333,0.85925,-2.86353,4514.48084662852,1354.34425398855,5868.82510061707,0.304861111111111
"25","P81.B25.0",81,8.5,"Ulm_spe","1 - Nein",7.900000095,0.508,1.94295,1.29229,-4.20064,3.30716467174418,0.992149401523255,4.29931407326744,1.205
"26","P81.B26.1",81,17.6,"Ulm_spe","1 - Nein",10.80000019,0.508,1.94295,1.29229,-4.20064,20.3750569141333,6.11251707424,26.4875739883733,1.205
"27","P81.B26.2",81,7.9,"Ulm_spe","1 - Nein",7.900000095,0.508,1.94295,1.29229,-4.20064,2.8687049007046,0.86061147021138,3.72931637091598,1.205
"28","P81.B27.0",81,13.8,"Ulm_spe","1 - Nein",12,0.508,1.94295,1.29229,-4.20064,14.5542557159007,4.36627671477022,18.920532430671,1.205
"29","P81.B28.0",81,7,"Ulm_spe","4 - zu THL",11.19999981,0.508,1.94295,1.29229,-4.20064,3.56060652685138,1.06818195805541,4.62878848490679,1.205
"30","P81.B29.0",81,0,"Fra_exc","4 - zu THL",31.70000076,0.56,1.95277,0.77206,-2.48079,0,0,0,0.0562499999999999
"31","P81.B30.0",81,9.4,"Ulm_spe","5 - BAUM Neu",7.3,0.508,1.94295,1.29229,-4.20064,3.6311907198023,1.08935721594069,4.72054793574299,1.205
"32","P81.B32.0",81,16,"Ulm_spe","1 - Nein",10.39999962,0.508,1.94295,1.29229,-4.20064,16.1247767915565,4.83743303746694,20.9622098290234,1.205
"33","P81.B33.0",81,0,"Ulm_spe","2 - zu THS",6.400000095,0.508,1.94295,1.29229,-4.20064,0,0,0,1.205
"34","P81.B34.0",81,20,"Ulm_spe","1 - Nein",11.30000019,0.508,1.94295,1.29229,-4.20064,27.6927304844833,8.307819145345,36.0005496298283,1.205
"35","P81.B35.0",81,8,"Ulm_spe","1 - Nein",3,0.508,1.94295,1.29229,-4.20064,0.84117143114741,0.252351429344223,1.09352286049163,1.205
"36","P81.B36.0",81,6.1,"Ulm_spe","1 - Nein",5.099999905,0.508,1.94295,1.29229,-4.20064,0.98602801233898,0.295808403701694,1.28183641604067,1.205
"37","P81.B38.0",81,12,"Til_spe","1 - Nein",6.699999809,0.422,0.044,2.79,0,44.6316506191647,13.3894951857494,58.0211458049141,0.508333333333333
"38","P81.B39.0",81,29,"Ulm_spe","1 - Nein",13.10000038,0.508,1.94295,1.29229,-4.20064,69.0003870258036,20.7001161077411,89.7005031335447,1.205
"39","P81.B40.0",81,12.1,"Ulm_spe","1 - Nein",3.400000095,0.508,1.94295,1.29229,-4.20064,2.20937552359756,0.662812657079267,2.87218818067682,1.205
"40","P81.B41.0",81,13.5,"Ace_pse","1 - Nein",12.30000019,0.51,1.89756,0.97716,-2.94253,20.4942166619203,6.14826499857608,26.6424816604963,0.2875
"41","P81.B42.0",81,10.2,"Ace_pse","1 - Nein",11.5,0.51,1.89756,0.97716,-2.94253,11.2744232834451,3.38232698503353,14.6567502684786,0.2875
"42","P81.B43.0",81,16.3,"Ulm_spe","1 - Nein",12.5,0.508,1.94295,1.29229,-4.20064,21.2027671752854,6.36083015258562,27.563597327871,1.205
"43","P81.B44.0",81,0,"Ulm_spe","2 - zu THS",11.10000038,0.508,1.94295,1.29229,-4.20064,0,0,0,1.205
"44","P81.B45.0",81,7.6,"Til_spe","1 - Nein",8.100000381,0.422,0.044,2.79,0,74.2744366726146,22.2823310017844,96.556767674399,0.508333333333333
"45","P81.B46.0",81,13.1,"Til_spe","1 - Nein",10.10000038,0.422,0.044,2.79,0,140.807868501907,42.2423605505722,183.050229052479,0.508333333333333
"46","P81.B47.1",81,20.5,"Ulm_spe","1 - Nein",15.39999962,0.508,1.94295,1.29229,-4.20064,43.345109116496,13.0035327349488,56.3486418514447,1.205
"47","P81.B47.2",81,6.6,"Ulm_spe","1 - Nein",5,0.508,1.94295,1.29229,-4.20064,1.12008668402757,0.33602600520827,1.45611268923584,1.205
"48","P81.B48.1",81,0,"Ulm_spe","2 - zu THS",12.5,0.508,1.94295,1.29229,-4.20064,0,0,0,1.205
"49","P81.B48.2",81,0,"Ulm_spe","2 - zu THS",9,0.508,1.94295,1.29229,-4.20064,0,0,0,1.205
"50","P81.B49.0",81,8,"Til_spe","1 - Nein",7.800000191,0.422,0.044,2.79,0,67.0023815270806,20.1007144581242,87.1030959852047,0.508333333333333
"51","P81.B50.0",81,7,"Car_bet","1 - Nein",8.5,0.706,0.00021491,2.258957614,0.001411006,41.8037199787091,12.5411159936127,54.3448359723218,0.34264705882353
"52","P81.B51.0",81,34.9,"Que_rob","1 - Nein",31.79999924,0.56,2.00333,0.85925,-2.86353,361.759182589947,108.527754776984,470.286937366931,0.304861111111111
"53","P81.B52.0",81,7.4,"Til_spe","1 - Nein",7.5,0.422,0.044,2.79,0,59.8518294086861,17.9555488226058,77.807378231292,0.508333333333333
"54","P81.B53.0",81,0,"Ace_pse","2 - zu THS",8.899999619,0.51,1.89756,0.97716,-2.94253,0,0,0,0.2875
"55","P81.B54.0",81,13.6,"Til_spe","1 - Nein",6.5,0.422,0.044,2.79,0,41.2395849653336,12.3718754896001,53.6114604549337,0.508333333333333
"56","P81.B55.0",81,12.4,"Ace_pse","1 - Nein",11.30000019,0.51,1.89756,0.97716,-2.94253,16.0547254839619,4.81641764518856,20.8711431291504,0.2875
"57","P81.B56.0",81,8.5,"Ace_pse","1 - Nein",9.5,0.51,1.89756,0.97716,-2.94253,6.61856848473254,1.98557054541976,8.6041390301523,0.2875
"58","P81.B57.0",81,12.6,"Ulm_spe","1 - Nein",10.60000038,0.508,1.94295,1.29229,-4.20064,10.3897305629272,3.11691916887815,13.5066497318053,1.205
"59","P81.B58.0",81,11.8,"Ulm_spe","1 - Nein",10.5,0.508,1.94295,1.29229,-4.20064,9.03509374788753,2.71052812436626,11.7456218722538,1.205
"60","P81.B59.0",81,0,"Ulm_spe","4 - zu THL",8.899999619,0.508,1.94295,1.29229,-4.20064,0,0,0,1.205
"61","P81.B60.0",81,8.1,"Til_spe","1 - Nein",7.400000095,0.422,0.044,2.79,0,57.8815514438497,17.3644654331549,75.2460168770046,0.508333333333333
"62","P81.B61.0",81,9.4,"Til_spe","1 - Nein",7.599999905,0.422,0.044,2.79,0,62.7621542306433,18.828646269193,81.5908004998363,0.508333333333333
"63","P81.B62.0",81,33.7,"Que_rob","1 - Nein",31,0.56,2.00333,0.85925,-2.86353,329.966577305195,98.9899731915586,428.956550496754,0.304861111111111
"64","P81.B63.0",81,11.4,"Ace_pla","1 - Nein",11.80000019,0.525,1.89756,0.97716,-2.94253,14.6985068223107,4.40955204669322,19.1080588690039,0.491666666666667
"65","P81.B64.0",81,36.8,"Til_spe","1 - Nein",28.10000038,0.422,0.044,2.79,0,2559.75418577295,767.926255731885,3327.68044150483,0.508333333333333
"66","P81.B65.0",81,51.9,"Que_rob","1 - Nein",33.09999847,0.56,2.00333,0.85925,-2.86353,829.142194330656,248.742658299197,1077.88485262985,0.304861111111111
"67","P81.B66.0",81,29.9,"Til_spe","1 - Nein",26.70000076,0.422,0.044,2.79,0,2199.41050421762,659.823151265286,2859.2336554829,0.508333333333333
"68","P81.B67.0",81,44.1,"Que_rob","1 - Nein",29.79999924,0.56,2.00333,0.85925,-2.86353,546.69371613517,164.008114840551,710.701830975721,0.304861111111111
"69","P81.B68.0",81,6.1,"Til_spe","1 - Nein",6.699999809,0.422,0.044,2.79,0,43.3224976296984,12.9967492889095,56.3192469186079,0.508333333333333
"70","P81.B69.0",81,6.9,"Til_spe","1 - Nein",16.20000076,0.422,0.044,2.79,0,511.524708209655,153.457412462897,664.982120672552,0.508333333333333
"71","P81.B70.0",81,6.5,"Til_spe","1 - Nein",6.099999905,0.422,0.044,2.79,0,33.4386485992771,10.0315945797831,43.4702431790603,0.508333333333333
"72","P81.B71.0",81,31.2,"Que_rob","1 - Nein",31.29999924,0.56,2.00333,0.85925,-2.86353,285.103003798041,85.5309011394122,370.633904937453,0.304861111111111
"73","P81.B72.0",81,9.3,"Til_spe","1 - Nein",9.199999809,0.422,0.044,2.79,0,106.903413258439,32.0710239775317,138.974437235971,0.508333333333333
"74","P81.B73.0",81,6.1,"Til_spe","1 - Nein",5.699999809,0.422,0.044,2.79,0,27.5966031541334,8.27898094624003,35.8755841003734,0.508333333333333
"75","P81.B74.0",81,9,"Til_spe","1 - Nein",8.300000191,0.422,0.044,2.79,0,80.0985925437907,24.0295777631372,104.128170306928,0.508333333333333
"76","P81.B75.0",81,9.2,"Til_spe","1 - Nein",8.899999619,0.422,0.044,2.79,0,97.4125786671311,29.2237736001393,126.63635226727,0.508333333333333
"77","P81.B76.0",81,24.5,"Que_rob","1 - Nein",27.89999962,0.56,2.00333,0.85925,-2.86353,159.134412656764,47.7403237970293,206.874736453794,0.304861111111111
"78","P81.B77.0",81,9.2,"Ulm_spe","1 - Nein",9.100000381,0.508,1.94295,1.29229,-4.20064,4.63018113618987,1.38905434085696,6.01923547704683,1.205
"79","P81.B78.0",81,11.2,"Til_spe","1 - Nein",11.19999981,0.422,0.044,2.79,0,186.592491877855,55.9777475633566,242.570239441212,0.508333333333333
"80","P81.B79.0",81,5,"Til_spe","1 - Nein",5.300000191,0.422,0.044,2.79,0,22.3303077759123,6.6990923327737,29.0294001086861,0.508333333333333
"81","P81.B80.0",81,8.1,"Til_spe","1 - Nein",7.300000191,0.422,0.044,2.79,0,55.7255625225859,16.7176687567758,72.4432312793617,0.508333333333333
"82","P81.B81.0",81,51.5,"Que_rob","1 - Nein",32.90000153,0.56,2.00333,0.85925,-2.86353,812.149490141807,243.644847042542,1055.79433718435,0.304861111111111
"83","P81.B82.0",81,8.8,"Til_spe","1 - Nein",10.10000038,0.422,0.044,2.79,0,138.364355635297,41.5093066905891,179.873662325886,0.508333333333333
"84","P81.B83.0",81,6.5,"Til_spe","1 - Nein",7.599999905,0.422,0.044,2.79,0,61.7516268944585,18.5254880683375,80.277114962796,0.508333333333333
"85","P81.B84.0",81,9.1,"Til_spe","1 - Nein",6.5,0.422,0.044,2.79,0,40.5169173210558,12.1550751963168,52.6719925173726,0.508333333333333
"86","P81.B85.0",81,8.8,"Til_spe","1 - Nein",9.899999619,0.422,0.044,2.79,0,130.854810473897,39.256443142169,170.111253616066,0.508333333333333
"87","P81.B86.0",81,15.2,"Til_spe","1 - Nein",11.60000038,0.422,0.044,2.79,0,208.56875868322,62.570627604966,271.139386288186,0.508333333333333
"88","P81.B87.0",81,7,"Til_spe","1 - Nein",10.19999981,0.422,0.044,2.79,0,140.795598836714,42.2386796510141,183.034278487728,0.508333333333333
"89","P81.B88.0",81,6.3,"Til_spe","1 - Nein",5.699999809,0.422,0.044,2.79,0,27.635803739064,8.29074112171921,35.9265448607832,0.508333333333333
"90","P81.B89.0",81,6.5,"Til_spe","1 - Nein",7.300000191,0.422,0.044,2.79,0,55.1885912080923,16.5565773624277,71.74516857052,0.508333333333333
"91","P81.B90.0",81,9.8,"Til_spe","1 - Nein",9.699999809,0.422,0.044,2.79,0,124.198791773394,37.2596375320181,161.458429305412,0.508333333333333
"92","P81.B91.0",81,6.3,"Til_spe","1 - Nein",3.700000048,0.422,0.044,2.79,0,8.27683159589023,2.48304947876707,10.7598810746573,0.508333333333333
"93","P81.B92.0",81,8.8,"Til_spe","1 - Nein",8.5,0.422,0.044,2.79,0,85.515797304879,25.6547391914637,111.170536496343,0.508333333333333
"94","P81.B93.0",81,12.5,"Ulm_spe","1 - Nein",10.10000038,0.508,1.94295,1.29229,-4.20064,9.61086765206117,2.88326029561835,12.4941279476795,1.205
"95","P81.B94.0",81,70.6,"Que_rob","1 - Nein",33.79999924,0.56,2.00333,0.85925,-2.86353,1563.71713545839,469.115140637517,2032.83227609591,0.304861111111111
"96","P81.B95.0",81,7.6,"Til_spe","1 - Nein",7.199999809,0.422,0.044,2.79,0,53.4716690003946,16.0415007001184,69.513169700513,0.508333333333333
"97","P81.B96.0",81,18,"Til_spe","1 - Nein",12.69999981,0.422,0.044,2.79,0,270.554438154957,81.1663314464872,351.720769601445,0.508333333333333
"98","P81.B97.0",81,6.5,"Ulm_spe","1 - Nein",8.800000191,0.508,1.94295,1.29229,-4.20064,2.25757573548664,0.677272720645992,2.93484845613263,1.205
"99","P81.B98.0",81,6.9,"Ulm_spe","1 - Nein",9.100000381,0.508,1.94295,1.29229,-4.20064,2.64757494769941,0.794272484309824,3.44184743200924,1.205
"100","P81.B99.0",81,8.2,"Car_bet","1 - Nein",8.399999619,0.706,0.00021491,2.258957614,0.001411006,40.7023444314829,12.2107033294449,52.9130477609278,0.34264705882353
"101","P81.B100.0",81,8.9,"Til_spe","1 - Nein",2.099999905,0.422,0.044,2.79,0,1.73051451625584,0.519154354876751,2.24966887113259,0.508333333333333
"102","P81.B101.0",81,6.4,"Car_bet","1 - Nein",4.699999809,0.706,0.00021491,2.258957614,0.001411006,10.9629931036893,3.2888979311068,14.2518910347961,0.34264705882353
"103","P81.B102.0",81,14.2,"Til_spe","1 - Nein",11.80000019,0.422,0.044,2.79,0,218.103088697478,65.4309266092435,283.534015306722,0.508333333333333
"104","P81.B103.0",81,13.5,"Til_spe","1 - Nein",12,0.422,0.044,2.79,0,228.066065932679,68.4198197798036,296.485885712482,0.508333333333333
"105","P81.B104.0",81,6.1,"Car_bet","1 - Nein",7.300000191,0.706,0.00021491,2.258957614,0.001411006,29.641071585036,8.89232147551079,38.5333930605467,0.34264705882353
"106","P81.B105.0",81,11.6,"Ulm_spe","1 - Nein",10.30000019,0.508,1.94295,1.29229,-4.20064,8.5254021741312,2.55762065223936,11.0830228263706,1.205
"107","P81.B106.0",81,21.5,"Car_bet","1 - Nein",18.29999924,0.706,0.00021491,2.258957614,0.001411006,236.387858436584,70.9163575309752,307.304215967559,0.34264705882353
"108","P81.B107.0",81,26.9,"Car_bet","1 - Nein",22.89999962,0.706,0.00021491,2.258957614,0.001411006,392.313560075738,117.694068022721,510.007628098459,0.34264705882353
"109","P81.B108.0",81,38.5,"Car_bet","1 - Nein",25.20000076,0.706,0.00021491,2.258957614,0.001411006,487.035405624773,146.110621687432,633.146027312205,0.34264705882353
"110","P81.B109.0",81,30.3,"Car_bet","1 - Nein",23.29999924,0.706,0.00021491,2.258957614,0.001411006,407.974261351919,122.392278405576,530.366539757494,0.34264705882353
"111","P81.B110.0",81,28.2,"Car_bet","1 - Nein",24.89999962,0.706,0.00021491,2.258957614,0.001411006,474.00416192964,142.201248578892,616.205410508532,0.34264705882353
